departement;departement_commune;libelle_de_commune;arrondissement;canton_ville;zone_d_emploi;unite_urbaine;population_2010;etablissement_sante_court_sejour;etablissement_sante_moyen_sejour;etablissement_sante_long_sejour;etablissement_psychiatrique;centre_lutte_cancer;urgences;maternite;centre_de_sante;structures_psychiatriques_en_ambulatoire;centre_medecine_preventive;dialyse;hospitalisation_a_domicile;pharmacie;laboratoire_d_analyses_medicales;ambulance;transfusion_sanguine;etablissement_thermal;etablissement_lutte_contre_l_alcoolisme;geo_point_2d;geo_shape
77;77338;Noisy-Rudignon;774;7716;1106;77000;586;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.3364793453,2.93408964722;"{""type"": ""Polygon"", ""coordinates"": [[[2.943897222736231, 48.318155310664665], [2.938653284730816, 48.32675396850487], [2.922065109369869, 48.33140470542823], [2.915404551007753, 48.33673539040923], [2.9323065020218193, 48.35216709446733], [2.9385645099646043, 48.35658799334784], [2.938492506758355, 48.33734343595164], [2.947238996621306, 48.33523335081672], [2.947606571971625, 48.33197657882264], [2.9500709195600012, 48.32289057339981], [2.943897222736231, 48.318155310664665]]]}"
77;77447;Seine-Port;772;7734;1105;77000;1962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.5514696661,2.55439654626;"{""type"": ""Polygon"", ""coordinates"": [[[2.5608955112323, 48.53565587803923], [2.548988349377239, 48.537293522511916], [2.534843252707495, 48.540684416078605], [2.529631444172375, 48.54630425891711], [2.531199123112667, 48.552805359176894], [2.545072110507509, 48.56243960079806], [2.547892863232417, 48.56851338456845], [2.5557356362554158, 48.570710858100995], [2.560354717427497, 48.56623023365368], [2.566637015831156, 48.56374351513118], [2.568602041595207, 48.55717486099904], [2.582277018828639, 48.55354445144665], [2.582072569927205, 48.54689592350922], [2.567435089405929, 48.544225827291704], [2.5608955112323, 48.53565587803923]]]}"
75;75105;Paris 5e Arrondissement;751;7599;1101;851;60938;3;0;1;2;1;0;0;2;3;0;0;1;47;5;3;0;0;0;48.8445086596,2.34985938556;"{""type"": ""Polygon"", ""coordinates"": [[[2.365944019143637, 48.84490772386109], [2.351573383125364, 48.83683535107211], [2.342031572330786, 48.83830317558654], [2.336591298996422, 48.83969412678994], [2.344559180836944, 48.85399290271931], [2.364320760755825, 48.846167205800846], [2.365944019143637, 48.84490772386109]]]}"
77;77110;Chenou;774;7704;1107;77000;302;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.1650303616,2.65274445287;"{""type"": ""Polygon"", ""coordinates"": [[[2.650196835400067, 48.14440807779636], [2.640105344539663, 48.143540879756934], [2.637187223426187, 48.153412106537324], [2.623270144537215, 48.1570218046793], [2.6224322197727, 48.167007187952855], [2.62760992825556, 48.16714061336308], [2.633461397676107, 48.176795986199686], [2.648616372008413, 48.18595716073182], [2.656313991362199, 48.18168772212174], [2.671050210805179, 48.18332236147264], [2.684133308507799, 48.169042052563704], [2.67719197837389, 48.16029501112662], [2.668584002573125, 48.15821955270548], [2.664724327915668, 48.145485063466126], [2.650196835400067, 48.14440807779636]]]}"
77;77140;Coutençon;773;7710;1105;77000;285;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.4729414867,2.9972836252;"{""type"": ""Polygon"", ""coordinates"": [[[2.9959697598464423, 48.4537038848259], [2.993114892872977, 48.4631677650179], [2.974071587268654, 48.485835297115244], [2.993125030120336, 48.489058497927985], [3.019467759872668, 48.47069614576417], [3.010808996583683, 48.46869111263158], [3.013769355556637, 48.45989255409643], [2.9959697598464423, 48.4537038848259]]]}"
77;77178;Faÿ-lès-Nemours;774;7724;1107;77000;478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.2276874711,2.66412171118;"{""type"": ""Polygon"", ""coordinates"": [[[2.639542389188001, 48.21227599668147], [2.6382978537653683, 48.21707708113403], [2.636579567394715, 48.22611467308693], [2.649499095408379, 48.23338794323644], [2.664760480587354, 48.2393977361486], [2.685103689146548, 48.24092930914962], [2.694066887840286, 48.23761468656383], [2.683921998895681, 48.222336723987254], [2.639542389188001, 48.21227599668147]]]}"
77;77196;Fresnes-sur-Marne;771;7737;56;77000;654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.9418117332,2.73978982468;"{""type"": ""Polygon"", ""coordinates"": [[[2.742318786429871, 48.92274217207727], [2.7204734655436553, 48.94262988737151], [2.710103788289418, 48.941652045864316], [2.720098164227018, 48.94895076149799], [2.724226764631097, 48.95824055324883], [2.741866897800299, 48.95331599870737], [2.761135570187858, 48.952771425273106], [2.762254411344121, 48.949959006135785], [2.7574260668597113, 48.94889721306047], [2.758455314204978, 48.93894455715538], [2.750667145665415, 48.92339831681231], [2.742318786429871, 48.92274217207727]]]}"
77;77244;Larchant;774;7703;1107;77000;742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.2829275322,2.59886669587;"{""type"": ""Polygon"", ""coordinates"": [[[2.630231513392097, 48.25956658827031], [2.584816160382239, 48.25345039054609], [2.576068103569985, 48.25562378515569], [2.57802164057613, 48.265744142828716], [2.56617909584574, 48.276831325318206], [2.556179562661858, 48.27819785062293], [2.554077375920945, 48.28131209552797], [2.55057784869319, 48.29017040330157], [2.556305158415698, 48.296904124822554], [2.564660884094916, 48.30071407576371], [2.574422734161492, 48.30089354053878], [2.589619151230176, 48.309737635698305], [2.604232643914313, 48.312459601706024], [2.615127585791105, 48.318478718973], [2.610771518144204, 48.30190041144272], [2.61358393237338, 48.299048460028196], [2.622960548795697, 48.296505450436854], [2.647597818993479, 48.29824589941869], [2.642635259361143, 48.29033129459604], [2.644657251161642, 48.28439006939359], [2.633587908846341, 48.27684339206434], [2.630231513392097, 48.25956658827031]]]}"
77;77245;Laval-en-Brie;773;7720;1105;77000;455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.4552750724,2.97557988604;"{""type"": ""Polygon"", ""coordinates"": [[[3.004676159465621, 48.417232586259296], [2.994999355125433, 48.41857304984837], [2.989024433972931, 48.424213430977474], [2.978643332904022, 48.42487775321144], [2.969345542564704, 48.42175394619943], [2.965186657113609, 48.4360211114414], [2.962666277003859, 48.463081129346435], [2.94282554622243, 48.47278906890066], [2.936717799476788, 48.48905083686604], [2.950614672171271, 48.49110851254549], [2.974071587268654, 48.485835297115244], [2.993114892872977, 48.4631677650179], [2.9959697598464423, 48.4537038848259], [3.006894849525595, 48.434343696652476], [3.004676159465621, 48.417232586259296]]]}"
77;77296;Moissy-Cramayel;772;7741;1105;851;17272;0;0;0;0;0;0;0;0;1;0;0;0;6;1;0;0;0;0;48.6285851533,2.5960231045;"{""type"": ""Polygon"", ""coordinates"": [[[2.58648426238363, 48.60251254365482], [2.582212279808433, 48.60587086253007], [2.564702394408399, 48.62207150517648], [2.572611218787539, 48.633865762127094], [2.573045527276033, 48.64384281504095], [2.581154660944683, 48.6465251160066], [2.605438460852329, 48.643010008648055], [2.60768236671196, 48.64605771903511], [2.612700628500158, 48.64662282764582], [2.628071120299444, 48.638369429315425], [2.629400688095477, 48.62502490691251], [2.613022761231556, 48.61774972239462], [2.598136762050963, 48.616396120216415], [2.58648426238363, 48.60251254365482]]]}"
77;77340;Nonville;774;7724;1107;77000;622;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.28866643,2.7739294965;"{""type"": ""Polygon"", ""coordinates"": [[[2.805457694641348, 48.29170973436763], [2.806117078863335, 48.288390787408886], [2.7916756615671563, 48.27532897073221], [2.751898481669059, 48.275729095494505], [2.738584677220673, 48.29411815001191], [2.741882434355521, 48.29527705140499], [2.777660413894239, 48.303501252101725], [2.803196350465385, 48.29792315612276], [2.805457694641348, 48.29170973436763]]]}"
77;77357;Pécy;773;7723;1105;77000;821;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.6467079831,3.07507507912;"{""type"": ""Polygon"", ""coordinates"": [[[3.102442198844801, 48.61787562472165], [3.079006400685325, 48.62283175884262], [3.072785713581808, 48.62788192316563], [3.057983100296518, 48.62923030106409], [3.053728686636449, 48.635519769931996], [3.043592203517203, 48.63703505764514], [3.027555142240502, 48.64587282436717], [3.043049098272221, 48.653243991714525], [3.041612474011107, 48.65628473999865], [3.0508782822214062, 48.66299122895404], [3.06045105405505, 48.66298675866272], [3.080413660893211, 48.67334584021631], [3.103612108751579, 48.66746340832894], [3.102264740088979, 48.62426225937383], [3.102442198844801, 48.61787562472165]]]}"
77;77425;Saint-Martin-en-Bière;772;7732;1105;77000;807;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.4342403607,2.57483458282;"{""type"": ""Polygon"", ""coordinates"": [[[2.595042040216573, 48.41838573516181], [2.575867382734438, 48.421278609350345], [2.56585269736354, 48.42772891511522], [2.546363496983449, 48.42732312556827], [2.552854836939618, 48.439699997430246], [2.579324129477322, 48.45378620772262], [2.583383827659744, 48.45178533773797], [2.5819618924470182, 48.44183030296494], [2.5983542105997213, 48.43418593698368], [2.595042040216573, 48.41838573516181]]]}"
78;78683;Villiers-Saint-Frédéric;782;7815;1113;851;2727;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;48.8201784594,1.88250820601;"{""type"": ""Polygon"", ""coordinates"": [[[1.885072705119444, 48.80543297680673], [1.8689494730466572, 48.81300778930019], [1.865896016545935, 48.82253096725744], [1.874862143377979, 48.83437128383238], [1.882091589324726, 48.834609966105404], [1.881353330283785, 48.831553995346326], [1.8902265103295781, 48.83135783825011], [1.901268931614907, 48.821961792362664], [1.8889579820032298, 48.80905795650232], [1.893691576263476, 48.80867012254765], [1.8940011070565421, 48.80563284968075], [1.885072705119444, 48.80543297680673]]]}"
91;91338;Limours;913;9113;1116;91301;6459;0;0;0;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0;48.6465432324,2.08125663662;"{""type"": ""Polygon"", ""coordinates"": [[[2.042622551407064, 48.62636848191561], [2.041608810036469, 48.62689107317577], [2.060206515496853, 48.64616382182387], [2.050568907839649, 48.65286101249124], [2.053903210778219, 48.65917532987829], [2.063153792327551, 48.66200098603353], [2.0890521742956922, 48.66182392598183], [2.097108850220393, 48.666292926329604], [2.099304161505992, 48.66025569267583], [2.119636139507747, 48.65189801691855], [2.11500709407599, 48.646250604509405], [2.122501799043737, 48.63888480108845], [2.117932133813971, 48.63781657732498], [2.10328073032663, 48.640567763297284], [2.086642404613325, 48.6326332593819], [2.061166738494923, 48.62820727126177], [2.051182784867032, 48.63024213291169], [2.042622551407064, 48.62636848191561]]]}"
91;91667;Villemoisson-sur-Orge;913;9114;1116;851;6950;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;48.6613107676,2.33108879096;"{""type"": ""Polygon"", ""coordinates"": [[[2.33686153765609, 48.65030936920091], [2.324345880587344, 48.65653565365251], [2.318728500486487, 48.665642670298666], [2.325093494433438, 48.66909698440028], [2.338125432437762, 48.66737105034268], [2.341952353469228, 48.66758113184323], [2.33686153765609, 48.65030936920091]]]}"
94;94071;Sucy-en-Brie;941;9446;1117;851;25820;0;0;0;0;0;0;0;0;0;0;0;0;10;2;4;0;0;0;48.7656456593,2.5330560803;"{""type"": ""Polygon"", ""coordinates"": [[[2.570168648401091, 48.75115596173791], [2.556647169370998, 48.75454229930818], [2.5270754279769463, 48.75604780152826], [2.499748965754346, 48.762969894355884], [2.495153520703636, 48.768293064596854], [2.51250920628796, 48.78492314424206], [2.5168638202372433, 48.7864698010811], [2.517879872886363, 48.78551155309086], [2.5148955521610192, 48.78297217285815], [2.521282074828861, 48.77814118070785], [2.5355537980668, 48.77702829353258], [2.542759058384985, 48.765417797787535], [2.562726320623926, 48.76442226949497], [2.571670046323765, 48.76709893245624], [2.5763300172897132, 48.76793401012813], [2.578204204586492, 48.76499059252918], [2.573005372995169, 48.76020525320052], [2.57711434436102, 48.755093221439026], [2.570168648401091, 48.75115596173791]]]}"
